path,label,y
../plant-images-dataset/seeds-microscope/Ochradenus/Ochra006.jpg,ochradenus,7
../plant-images-dataset/seeds-microscope/Ochradenus/Ochra007.jpg,ochradenus,7
../plant-images-dataset/seeds-microscope/Ochradenus/Ochra 2.jpg,ochradenus,7
../plant-images-dataset/seeds-microscope/Ochradenus/Ochra 1.jpg,ochradenus,7
../plant-images-dataset/seeds-microscope/Ochradenus/Ochra.jpg,ochradenus,7
../plant-images-dataset/seeds-microscope/Ochradenus/Ochra 004.jpg,ochradenus,7
../plant-images-dataset/seeds-microscope/Ochradenus/Ochra 005.jpg,ochradenus,7
../plant-images-dataset/seeds-microscope/Ochradenus/Ochra 003.jpg,ochradenus,7
../plant-images-dataset/seeds-microscope/Pennisetum/Pennisetum 022.jpg,pennisetum,8
../plant-images-dataset/seeds-microscope/Pennisetum/Pennisetum 021.jpg,pennisetum,8
../plant-images-dataset/seeds-microscope/Pennisetum/Pennisetum 009.jpg,pennisetum,8
../plant-images-dataset/seeds-microscope/Pennisetum/Pennisetum 008.jpg,pennisetum,8
../plant-images-dataset/seeds-microscope/Pennisetum/Pennisetum 020.jpg,pennisetum,8
../plant-images-dataset/seeds-microscope/Pennisetum/Pennisetum 018.jpg,pennisetum,8
../plant-images-dataset/seeds-microscope/Pennisetum/Pennisetum 019.jpg,pennisetum,8
../plant-images-dataset/seeds-microscope/Pennisetum/Pennisetum.jpg,pennisetum,8
../plant-images-dataset/seeds-microscope/Pennisetum/Pennisetum 017.jpg,pennisetum,8
../plant-images-dataset/seeds-microscope/Pennisetum/Pennisetum 003.jpg,pennisetum,8
../plant-images-dataset/seeds-microscope/Pennisetum/Pennisetum 016.jpg,pennisetum,8
../plant-images-dataset/seeds-microscope/Pennisetum/Pennisetum 014.jpg,pennisetum,8
../plant-images-dataset/seeds-microscope/Pennisetum/Pennisetum 015.jpg,pennisetum,8
../plant-images-dataset/seeds-microscope/Pennisetum/Pennisetum 005.jpg,pennisetum,8
../plant-images-dataset/seeds-microscope/Pennisetum/Pennisetum 011.jpg,pennisetum,8
../plant-images-dataset/seeds-microscope/Pennisetum/Pennisetum 010.jpg,pennisetum,8
../plant-images-dataset/seeds-microscope/Pennisetum/Pennisetum 004.jpg,pennisetum,8
../plant-images-dataset/seeds-microscope/Pennisetum/Pennisetum001.jpg,pennisetum,8
../plant-images-dataset/seeds-microscope/Pennisetum/Pennisetum 012.jpg,pennisetum,8
