correct,skill,student,problem,skill_name
0,0,0,0,0
1,1,0,1,1
1,2,0,2,2
1,3,0,3,3
0,4,0,4,4
0,5,0,5,5
1,6,0,6,6
0,7,0,7,7
0,8,0,8,8
1,9,0,9,9
0,10,0,10,10
1,11,0,11,11
0,12,0,12,12
1,13,0,13,13
1,14,0,14,14
1,15,0,15,15
0,16,0,16,16
1,17,0,17,17
1,18,0,18,18
0,19,0,19,19
0,20,0,20,20
0,21,0,21,21
0,22,0,22,22
0,23,0,23,23
1,24,0,24,24
1,25,0,25,25
0,26,0,26,26
1,27,0,27,27
0,28,0,28,28
0,29,0,29,29
0,30,0,30,30
0,31,0,31,31
0,32,0,32,32
0,33,0,33,33
1,34,0,34,34
0,35,0,35,35
1,36,0,36,36
0,37,0,37,37
0,38,0,38,38
1,39,0,39,39
1,40,0,40,40
1,41,0,41,41
1,42,0,42,42
1,43,0,43,43
0,44,0,44,44
0,45,0,45,45
0,46,0,46,46
1,47,0,47,47
0,48,0,48,48
1,49,0,49,49
1,0,1,0,0
1,1,1,1,1
1,2,1,2,2
1,3,1,3,3
1,4,1,4,4
1,5,1,5,5
1,6,1,6,6
1,7,1,7,7
1,8,1,8,8
1,9,1,9,9
1,10,1,10,10
1,11,1,11,11
1,12,1,12,12
1,13,1,13,13
0,14,1,14,14
1,15,1,15,15
0,16,1,16,16
1,17,1,17,17
1,18,1,18,18
1,19,1,19,19
1,20,1,20,20
1,21,1,21,21
1,22,1,22,22
1,23,1,23,23
1,24,1,24,24
1,25,1,25,25
0,26,1,26,26
1,27,1,27,27
1,28,1,28,28
1,29,1,29,29
1,30,1,30,30
1,31,1,31,31
1,32,1,32,32
1,33,1,33,33
1,34,1,34,34
1,35,1,35,35
1,36,1,36,36
1,37,1,37,37
1,38,1,38,38
1,39,1,39,39
1,40,1,40,40
1,41,1,41,41
1,42,1,42,42
1,43,1,43,43
1,44,1,44,44
1,45,1,45,45
1,46,1,46,46
1,47,1,47,47
1,48,1,48,48
0,49,1,49,49
1,0,2,0,0
1,1,2,1,1
1,2,2,2,2
0,3,2,3,3
0,4,2,4,4
0,5,2,5,5
1,6,2,6,6
0,7,2,7,7
0,8,2,8,8
1,9,2,9,9
0,10,2,10,10
1,11,2,11,11
1,12,2,12,12
1,13,2,13,13
0,14,2,14,14
1,15,2,15,15
0,16,2,16,16
0,17,2,17,17
0,18,2,18,18
1,19,2,19,19
0,20,2,20,20
0,21,2,21,21
0,22,2,22,22
0,23,2,23,23
1,24,2,24,24
0,25,2,25,25
0,26,2,26,26
0,27,2,27,27
1,28,2,28,28
0,29,2,29,29
1,30,2,30,30
0,31,2,31,31
1,32,2,32,32
1,33,2,33,33
0,34,2,34,34
1,35,2,35,35
1,36,2,36,36
1,37,2,37,37
0,38,2,38,38
0,39,2,39,39
1,40,2,40,40
0,41,2,41,41
1,42,2,42,42
1,43,2,43,43
0,44,2,44,44
1,45,2,45,45
1,46,2,46,46
1,47,2,47,47
0,48,2,48,48
0,49,2,49,49
1,0,3,0,0
1,1,3,1,1
1,2,3,2,2
1,3,3,3,3
1,4,3,4,4
